iter	MultiClass
0	1.013340625
1	0.9347904907
2	0.8724997003
3	0.8179906913
4	0.7617600357
5	0.7206568358
6	0.681583683
7	0.649504701
8	0.6215323747
9	0.5918801491
10	0.5633417551
11	0.5424207654
12	0.5254378933
13	0.5084486423
14	0.4894991925
15	0.4721054483
16	0.4560540142
17	0.4414250653
18	0.4299050311
19	0.4152970318
20	0.4031516201
21	0.3931395855
22	0.3885001625
23	0.3765293011
24	0.3669017425
25	0.3619619632
26	0.3530381762
27	0.3422539158
28	0.3346180634
29	0.3254281871
30	0.3188245428
31	0.3129153117
32	0.3058613978
33	0.2994197623
34	0.2962498684
35	0.2895257554
36	0.286109221
37	0.2809202732
38	0.2777689086
39	0.270974461
40	0.2669263648
41	0.2612194522
42	0.257279722
43	0.2541883594
44	0.2491338748
45	0.2462543761
46	0.2422172892
47	0.2371670648
48	0.2348188556
49	0.2323524159
50	0.2299698909
51	0.22615197
52	0.2220539822
53	0.2176254883
54	0.2149408985
55	0.211489373
56	0.2077696738
57	0.2057086762
58	0.2026945936
59	0.198670358
60	0.1956128297
61	0.191345071
62	0.1876425383
63	0.1847987812
64	0.182433017
65	0.1807409258
66	0.1781402515
67	0.1749120259
68	0.17284143
69	0.1705066451
70	0.1678520301
71	0.1657560135
72	0.1632197896
73	0.1607923583
74	0.1589383727
75	0.1566448466
76	0.1540715329
77	0.1520508594
78	0.1500238544
79	0.14822154
80	0.1455887236
81	0.1432075906
82	0.1411766203
83	0.1387683232
84	0.136525522
85	0.1345231489
86	0.1326683398
87	0.1309687047
88	0.1284564183
89	0.1268239411
90	0.1251443873
91	0.1227236946
92	0.1210210725
93	0.1193271074
94	0.1181469187
95	0.1162303209
96	0.1144480327
97	0.1123738657
98	0.1106851254
99	0.1090652625
100	0.1079816639
101	0.1070236268
102	0.1061100803
103	0.1050413406
104	0.1037130808
105	0.1026254976
106	0.1016595588
107	0.1001464676
108	0.09894530811
109	0.09770734212
110	0.09659735625
111	0.09511671362
112	0.09383497744
113	0.09251337153
114	0.09110881688
115	0.089826135
116	0.0887493597
117	0.0879224258
118	0.08676803706
119	0.08574598286
120	0.0848226744
121	0.08362267059
122	0.08267124553
123	0.08171964954
124	0.08067360914
125	0.07955810734
126	0.07867576959
127	0.07792078
128	0.07732963033
129	0.07622231978
130	0.075433007
131	0.07477458466
132	0.07408246364
133	0.07327853519
134	0.07255065106
135	0.07190122208
136	0.07106633465
137	0.07036578503
138	0.06966865586
139	0.06883844162
140	0.06806135915
141	0.0671842542
142	0.06674868495
143	0.06572734251
144	0.06494602324
145	0.06408533629
146	0.06332448821
147	0.0628137098
148	0.06239588598
149	0.0619103822
150	0.06109940125
151	0.060460603
152	0.0596736499
153	0.05932635023
154	0.05881543907
155	0.05825688499
156	0.0576668595
157	0.05704305192
158	0.05661452977
159	0.05610801922
160	0.05565561458
161	0.05530063043
162	0.05487935783
163	0.05424787681
164	0.05391055194
165	0.05337134009
166	0.05298115391
167	0.05239191923
168	0.05188400787
169	0.0515808984
170	0.05113763217
171	0.05095206718
172	0.05047039438
173	0.05000885909
174	0.04968657706
175	0.04916270034
176	0.04866714851
177	0.04811493918
178	0.04768754613
179	0.04725163487
180	0.04687857342
181	0.04647688992
182	0.04606413521
183	0.04572530929
184	0.04536116832
185	0.0448941025
186	0.04464051958
187	0.04427336306
188	0.04400880134
189	0.04365024594
190	0.04332368117
191	0.04305353432
192	0.04271123212
193	0.04244546186
194	0.04214156885
195	0.0418430264
196	0.04141585725
197	0.04107726721
198	0.04070858044
199	0.04042984965
200	0.04022003978
201	0.0399183993
202	0.03962187179
203	0.03931097827
204	0.03900986009
205	0.03872396273
206	0.0384555489
207	0.03819015292
208	0.0379379069
209	0.03764873041
210	0.03741764728
211	0.03715134352
212	0.03697896644
213	0.03673046565
214	0.03643545775
215	0.0361511925
216	0.03579502073
217	0.03555546909
218	0.03529134682
219	0.03505406023
220	0.03482537358
221	0.03466832594
222	0.03448866066
223	0.03426637068
224	0.0341157064
225	0.03385090124
226	0.0335763939
227	0.0332267408
228	0.03296313484
229	0.03274414021
230	0.03254817189
231	0.03237129553
232	0.03213983714
233	0.03193003509
234	0.03166084013
235	0.03150002681
236	0.03128034575
237	0.03103979062
238	0.0308419459
239	0.0306181889
240	0.03037062859
241	0.03019948906
242	0.02998999332
243	0.02976402904
244	0.02955886825
245	0.02933206825
246	0.02917033076
247	0.02900730409
248	0.02881047955
249	0.02861319089
250	0.02847289875
251	0.02827281802
252	0.02815121712
253	0.02805060866
254	0.02790296623
255	0.02775969681
256	0.02760061778
257	0.02744529771
258	0.02732475702
259	0.0271632767
260	0.0269669651
261	0.02680533951
262	0.02665906759
263	0.02647999146
264	0.02628720855
265	0.02614141373
266	0.02606580042
267	0.02593229255
268	0.02580118373
269	0.0256751932
270	0.02554459005
271	0.02541028743
272	0.02530954277
273	0.02519636263
274	0.02507425536
275	0.02492123005
276	0.02482162079
277	0.02461814111
278	0.02449633948
279	0.0243737075
280	0.0242566966
281	0.02413813979
282	0.02407331663
283	0.02393244919
284	0.02382038219
285	0.023682674
286	0.02356131527
287	0.02343995097
288	0.02333998442
289	0.02321143218
290	0.02307616707
291	0.02295896922
292	0.02280033
293	0.02267714828
294	0.02251104182
295	0.02239454154
296	0.02226372296
297	0.02213920549
298	0.02206004138
299	0.0219434871
300	0.02179987063
301	0.02165262984
302	0.02153970017
303	0.02144015999
304	0.0213598543
305	0.02128070825
306	0.02116565681
307	0.0210849969
308	0.02094692633
309	0.02085522397
310	0.02073349317
311	0.02061907561
312	0.02052760147
313	0.02044176831
314	0.02036363143
315	0.02027042005
316	0.02015548412
317	0.02003089417
318	0.01993857253
319	0.01985801391
320	0.01978853916
321	0.01969675528
322	0.0196185974
323	0.01954827943
324	0.01944986771
325	0.01932562842
326	0.01926315092
327	0.0191420387
328	0.0190493967
329	0.01895882286
330	0.01888214383
331	0.01879333106
332	0.01871366398
333	0.01863189853
334	0.01855640468
335	0.01845103691
336	0.01835683648
337	0.0182823097
338	0.01820774157
339	0.01814949722
340	0.01807284043
341	0.01798992803
342	0.01793268315
343	0.01788504715
344	0.01780196427
345	0.01773703803
346	0.01765365304
347	0.01757615547
348	0.01750880468
349	0.01741872381
350	0.01735369187
351	0.01725643035
352	0.01718107319
353	0.01711401927
354	0.01705206262
355	0.0169866729
356	0.01693342826
357	0.01686984035
358	0.01678666648
359	0.01668621508
360	0.01662868715
361	0.01656841432
362	0.01650909075
363	0.01643605593
364	0.01638743238
365	0.01630871262
366	0.01625374496
367	0.01617525957
368	0.01610556841
369	0.01602890125
370	0.01597409365
371	0.01589276713
372	0.01584673408
373	0.01580373102
374	0.01573246848
375	0.01568296937
376	0.01562667252
377	0.01556266853
378	0.01551022514
379	0.01544930649
380	0.01536794681
381	0.01531284558
382	0.01525320546
383	0.01519037305
384	0.01512193805
385	0.01507017643
386	0.01500930247
387	0.01495982538
388	0.0149132564
389	0.01482590719
390	0.01478841787
391	0.0147296342
392	0.01468693583
393	0.0146301022
394	0.01456378344
395	0.01451720534
396	0.01446596711
397	0.01441714799
398	0.01436270646
399	0.01431562568
400	0.01425769959
401	0.01421688982
402	0.01416982087
403	0.01411335143
404	0.01405359266
405	0.01402355153
406	0.01395412659
407	0.01392335945
408	0.01387622347
409	0.01384133755
410	0.01378396817
411	0.01373565135
412	0.01368118528
413	0.01361600405
414	0.01356645492
415	0.01351403588
416	0.0134756559
417	0.01341529789
418	0.01337220393
419	0.01332375754
420	0.01327195308
421	0.01323031316
422	0.01319589628
423	0.01315317506
424	0.01312111169
425	0.01308320186
426	0.01304472144
427	0.01300890444
428	0.01297556338
429	0.01292035776
430	0.01287780718
431	0.01283095629
432	0.01277702288
433	0.01274951758
434	0.01268459148
435	0.01263978109
436	0.01260323417
437	0.01257327717
438	0.01253237643
439	0.01249747861
440	0.01246014002
441	0.01241747404
442	0.01237471388
443	0.01233622214
444	0.012296011
445	0.01225997289
446	0.01222954471
447	0.01219698718
448	0.01215941792
449	0.01212459845
450	0.01209908971
451	0.01206012176
452	0.01202266955
453	0.01199907148
454	0.01194679889
455	0.01190314888
456	0.01187059004
457	0.01184439751
458	0.01181175031
459	0.01177572421
460	0.01174035856
461	0.01169203963
462	0.0116581979
463	0.01163190194
464	0.01160119041
465	0.01155866527
466	0.01152468884
467	0.01148794823
468	0.01144425017
469	0.01140240308
470	0.01136581217
471	0.01134138489
472	0.0113105521
473	0.01127608356
474	0.01124596733
475	0.01122565071
476	0.01120336864
477	0.01117014172
478	0.01113669435
479	0.01109611194
480	0.01104722419
481	0.01101563962
482	0.01098068133
483	0.01094834134
484	0.01091886182
485	0.01088134736
486	0.0108558492
487	0.01080703539
488	0.01077196184
489	0.01073374449
490	0.01070028329
491	0.010664764
492	0.01062545793
493	0.01059060705
494	0.01056352134
495	0.01054433951
496	0.01050530294
497	0.01047907067
498	0.01044206832
499	0.01041732017
500	0.01037246026
501	0.01034924007
502	0.01031211075
503	0.01029041987
504	0.01025810179
505	0.01022970938
506	0.01020377678
507	0.0101828354
508	0.01015020482
509	0.01012254094
510	0.01010317799
511	0.01007786765
512	0.01004382359
513	0.01002353249
514	0.009996544753
515	0.009955997585
516	0.009935371333
517	0.009905970086
518	0.009869006886
519	0.009840281339
520	0.009812563096
521	0.009788411514
522	0.009754820075
523	0.009727446145
524	0.009704692984
525	0.0096827277
526	0.009653802215
527	0.009626256694
528	0.009601257783
529	0.009579945689
530	0.009555183685
531	0.009529225089
532	0.009506841147
533	0.009483972067
534	0.009463471159
535	0.009444251968
536	0.009424429236
537	0.009400307159
538	0.009379006363
539	0.009350420043
540	0.009326462974
541	0.009303329573
542	0.009283156679
543	0.009262739119
544	0.009234527964
545	0.009215937003
546	0.009204425553
547	0.009181352791
548	0.009156288416
549	0.009138563216
550	0.009105193492
551	0.009087258115
552	0.009065422374
553	0.009034251064
554	0.009008144618
555	0.008987424139
556	0.008965620564
557	0.008938408956
558	0.008920351434
559	0.008903612389
560	0.00888064815
561	0.008848616428
562	0.008821694341
563	0.008800590083
564	0.008782226702
565	0.008760836241
566	0.008740840817
567	0.008725028556
568	0.008705434393
569	0.008684636132
570	0.008663312486
571	0.008641542331
572	0.008618458831
573	0.008600037706
574	0.008581057779
575	0.008559071272
576	0.008544246422
577	0.008523537451
578	0.008509033713
579	0.008486592557
580	0.008460841742
581	0.00844037097
582	0.008423906005
583	0.008406545761
584	0.008387582445
585	0.008367829637
586	0.008347038251
587	0.008339942915
588	0.00831842907
589	0.008299841342
590	0.008282640369
591	0.008268473568
592	0.008249231269
593	0.008234769461
594	0.008222758671
595	0.008196284967
596	0.008181410108
597	0.008156893875
598	0.008135139544
599	0.008117757764
600	0.00810400255
601	0.008081630796
602	0.008056054418
603	0.008028908925
604	0.008000111835
605	0.007979333585
606	0.00796444446
607	0.007944573856
608	0.0079289266
609	0.007913504902
610	0.007904272411
611	0.007892344056
612	0.007872266795
613	0.007855562121
614	0.007842032787
615	0.0078245366
616	0.00780440811
617	0.007781237773
618	0.007765880822
619	0.007742284815
620	0.007728372865
621	0.007710495453
622	0.007697733357
623	0.007684202193
624	0.007667722938
625	0.007652648126
626	0.007638601053
627	0.007623677051
628	0.007612789952
629	0.007595745713
630	0.007569973902
631	0.007554318663
632	0.007538896237
633	0.007522660956
634	0.007508626633
635	0.007493234823
636	0.007477607423
637	0.007460420061
638	0.00743963565
639	0.007426506981
640	0.007409551356
641	0.007395659072
642	0.007383189993
643	0.007362069037
644	0.007351897017
645	0.007328898791
646	0.007310227939
647	0.00729535849
648	0.007271850678
649	0.007260515599
650	0.007241067554
651	0.007221924609
652	0.007206378831
653	0.007186871057
654	0.007173648422
655	0.007156421438
656	0.007145610014
657	0.007128652047
658	0.007111953796
659	0.007098427256
660	0.007084178186
661	0.007071265505
662	0.007055219309
663	0.007041378899
664	0.007024553911
665	0.007015485781
666	0.007000604317
667	0.006989957084
668	0.00696795553
669	0.006957290066
670	0.006945088364
671	0.006934905282
672	0.006920711114
673	0.006904505208
674	0.006893124471
675	0.006879478298
676	0.006861990587
677	0.006849996223
678	0.006833845544
679	0.006820583306
680	0.006808967466
681	0.006800099725
682	0.006781064779
683	0.006770609306
684	0.006757322293
685	0.00674208609
686	0.006725052558
687	0.006713242543
688	0.006705059882
689	0.006693856197
690	0.006684786934
691	0.006671667253
692	0.00666038167
693	0.006647913773
694	0.006639318357
695	0.0066275839
696	0.006612987939
697	0.00659728967
698	0.006586959372
699	0.006578531341
700	0.006563136295
701	0.006550886519
702	0.006533524238
703	0.006521919773
704	0.006507010062
705	0.00649589653
706	0.006482381833
707	0.006466814655
708	0.00645548004
709	0.006440643464
710	0.006429743961
711	0.006418725604
712	0.006408559244
713	0.006397142905
714	0.006386850437
715	0.00637608855
716	0.006354549956
717	0.006341614415
718	0.006331057534
719	0.0063175553
720	0.006304148145
721	0.006291994005
722	0.00628377151
723	0.006269479957
724	0.006253312356
725	0.006243873752
726	0.006228677381
727	0.006216865404
728	0.00620549254
729	0.006196039984
730	0.006184235716
731	0.006172008414
732	0.006160035834
733	0.006149240031
734	0.006138367218
735	0.006126623927
736	0.006118966326
737	0.006109195053
738	0.006102811432
739	0.00609260431
740	0.006083927704
741	0.006075337868
742	0.006065003072
743	0.00605552481
744	0.006044253282
745	0.006034787127
746	0.006028444985
747	0.006015708619
748	0.006003275374
749	0.005992816652
750	0.005983647229
751	0.005975242733
752	0.005967031893
753	0.005957080909
754	0.005945834474
755	0.005939404245
756	0.005931324913
757	0.005922280763
758	0.00590814801
759	0.00590001995
760	0.00588597385
761	0.005876562867
762	0.005868036056
763	0.005856560928
764	0.005844397226
765	0.00583745199
766	0.005825276597
767	0.005816908371
768	0.005808736964
769	0.005798869333
770	0.00579258707
771	0.005784360951
772	0.005775683717
773	0.005769936427
774	0.005763619162
775	0.005753281791
776	0.005735409985
777	0.005726692981
778	0.00571790185
779	0.005708081459
780	0.005693847691
781	0.005685854555
782	0.005677046389
783	0.005666718865
784	0.005657477783
785	0.005648529393
786	0.005639135568
787	0.005632385396
788	0.005621937101
789	0.005611132662
790	0.005604742614
791	0.005596403128
792	0.005591532468
793	0.005581015708
794	0.005571885189
795	0.005560995481
796	0.00555560848
797	0.00554555622
798	0.00553715074
799	0.005529006274
800	0.005523613184
801	0.005516897891
802	0.005507624234
803	0.005497728364
804	0.005485717958
805	0.005475441812
806	0.005467431258
807	0.005459646603
808	0.005452172939
809	0.005444471598
810	0.005438844333
811	0.005431229574
812	0.005419289982
813	0.005409440895
814	0.005399734495
815	0.005392521002
816	0.005385946511
817	0.005374325453
818	0.00536738837
819	0.005361312258
820	0.005353436318
821	0.005344268595
822	0.005333774136
823	0.005323169419
824	0.005313463811
825	0.005303984097
826	0.005294953432
827	0.005286872278
828	0.005281114448
829	0.005273077746
830	0.005264445928
831	0.005255952464
832	0.005249247566
833	0.005240483563
834	0.005232194521
835	0.005223203682
836	0.005216962222
837	0.005208941252
838	0.005202605669
839	0.005193125817
840	0.00518607874
841	0.005176450641
842	0.005171014978
843	0.005165170012
844	0.005156121917
845	0.005147881867
846	0.005140280321
847	0.005129519521
848	0.005122296486
849	0.005112468145
850	0.005104031123
851	0.005095731915
852	0.005085575281
853	0.005075836494
854	0.00506664159
855	0.005060377847
856	0.005054025296
857	0.005045393683
858	0.005038397571
859	0.005031164997
860	0.005024379037
861	0.005019177989
862	0.00501239686
863	0.005005160565
864	0.004998672142
865	0.004986773802
866	0.004979126719
867	0.004968251037
868	0.00495930937
869	0.004951274545
870	0.004943940397
871	0.004939783068
872	0.004933371957
873	0.004927639816
874	0.00491790174
875	0.004907457589
876	0.004899836797
877	0.004893208389
878	0.004886565564
879	0.004879435604
880	0.004872285465
881	0.004864857839
882	0.004857393556
883	0.004848829967
884	0.004844511785
885	0.004839631052
886	0.004833298553
887	0.004827052396
888	0.004821929736
889	0.004815495362
890	0.004811187243
891	0.004803988149
892	0.004797447131
893	0.004791989798
894	0.004784280858
895	0.004778893246
896	0.004769001638
897	0.004761769914
898	0.004756298952
899	0.00475139165
900	0.004740738019
901	0.00473380446
902	0.004726401323
903	0.00471859195
904	0.004710618708
905	0.004702213767
906	0.00469581856
907	0.004686751095
908	0.004678611408
909	0.004674771165
910	0.004670021325
911	0.004663587666
912	0.004656965445
913	0.004651416436
914	0.004644569334
915	0.004639033421
916	0.004630802907
917	0.004624601221
918	0.004617145789
919	0.004611960683
920	0.004604559896
921	0.004598394213
922	0.004592158154
923	0.004587114686
924	0.0045816734
925	0.004575862203
926	0.004571340964
927	0.004563275704
928	0.004555103235
929	0.004546894625
930	0.004540204361
931	0.004534886276
932	0.004529011298
933	0.004523793902
934	0.004516801921
935	0.004510248955
936	0.00450408307
937	0.004496856632
938	0.004491264736
939	0.004485009708
940	0.004478945451
941	0.004472649485
942	0.004468415438
943	0.004463175134
944	0.004457716656
945	0.004452242226
946	0.004444855271
947	0.004440404237
948	0.004433876722
949	0.004427753293
950	0.004422757001
951	0.004417863387
952	0.004410687638
953	0.00440518727
954	0.00439758819
955	0.004393412685
956	0.004387499025
957	0.00437893028
958	0.004373759439
959	0.004367269125
960	0.004357959564
961	0.0043541949
962	0.004348832611
963	0.004341914705
964	0.004338119182
965	0.004333307946
966	0.00432866738
967	0.004322203551
968	0.004315505194
969	0.004309651745
970	0.004304624147
971	0.004299726018
972	0.004292403473
973	0.004286710584
974	0.004281975048
975	0.004275615733
976	0.00427078492
977	0.004265099488
978	0.004257931767
979	0.004255270556
980	0.004249144003
981	0.004244487487
982	0.004239545499
983	0.004232398344
984	0.004228396235
985	0.004224282017
986	0.004218038857
987	0.004214357691
988	0.004207431626
989	0.004204449568
990	0.004196874019
991	0.004191964321
992	0.004188790307
993	0.00418315673
994	0.004179253406
995	0.004174090186
996	0.004168042334
997	0.00416331814
998	0.004154599056
999	0.004150374765
1000	0.004145455216
1001	0.004141016422
1002	0.004135543973
