iter	Passed	Remaining
0	7	14277
1	13	13125
2	20	12809
3	23	11109
4	29	11263
5	35	11284
6	41	11332
7	48	11442
8	50	10567
9	56	10641
10	62	10754
11	68	10805
12	74	10811
13	77	10479
14	83	10530
15	89	10564
16	95	10612
17	101	10637
18	102	10147
19	108	10187
20	114	10256
21	117	10056
22	118	9676
23	124	9736
24	130	9786
25	131	9484
26	137	9544
27	143	9614
28	149	9668
29	156	9725
30	162	9783
31	168	9820
32	174	9854
33	180	9885
34	181	9689
35	187	9728
36	193	9760
37	200	9800
38	206	9831
39	212	9873
40	218	9908
41	224	9933
42	230	9963
43	236	9985
44	243	10021
45	249	10048
46	255	10054
47	261	10085
48	267	10103
49	273	10121
50	279	10140
51	285	10149
52	292	10183
53	298	10206
54	304	10223
55	310	10239
56	317	10258
57	323	10282
58	330	10297
59	335	10303
60	342	10315
61	348	10329
62	354	10333
63	360	10349
64	366	10359
65	372	10359
66	378	10366
67	385	10375
68	391	10381
69	397	10391
70	403	10397
71	409	10406
72	416	10421
73	422	10431
74	429	10441
75	435	10447
76	441	10450
77	447	10451
78	453	10455
79	459	10458
80	465	10457
81	472	10469
82	478	10480
83	484	10480
84	490	10479
85	496	10475
86	502	10472
87	509	10481
88	515	10480
89	521	10480
90	527	10478
91	533	10476
92	539	10486
93	545	10489
94	552	10488
95	558	10490
96	564	10488
97	570	10484
98	576	10479
99	582	10480
100	588	10477
101	593	10470
102	600	10469
103	606	10476
104	612	10476
105	618	10475
106	624	10468
107	630	10467
108	636	10462
109	642	10462
110	649	10460
111	655	10458
112	661	10454
113	667	10450
114	672	10444
115	678	10438
116	684	10434
117	690	10427
118	696	10427
119	702	10422
120	708	10415
121	714	10410
122	720	10406
123	726	10400
124	732	10394
125	738	10390
126	744	10387
127	749	10382
128	755	10376
129	761	10370
130	767	10365
131	773	10364
132	779	10361
133	785	10357
134	792	10355
135	797	10348
136	803	10342
137	809	10338
138	815	10335
139	821	10333
140	827	10328
141	833	10322
142	839	10317
143	845	10311
144	851	10311
145	858	10310
146	864	10309
147	870	10302
148	876	10299
149	882	10294
150	888	10292
151	894	10291
152	900	10287
153	907	10287
154	913	10280
155	919	10274
156	924	10267
157	931	10265
158	937	10260
159	943	10258
160	949	10255
161	955	10250
162	961	10243
163	967	10237
164	972	10230
165	979	10226
166	985	10225
167	991	10219
168	997	10214
169	1003	10210
170	1009	10205
171	1015	10200
172	1021	10194
173	1027	10189
174	1033	10185
175	1039	10179
176	1045	10174
177	1051	10175
178	1057	10171
179	1064	10167
180	1070	10166
181	1076	10160
182	1083	10164
183	1090	10168
184	1098	10181
185	1105	10188
186	1112	10189
187	1119	10195
188	1126	10202
189	1134	10209
190	1141	10212
191	1148	10215
192	1155	10216
193	1162	10221
194	1168	10220
195	1175	10220
196	1182	10222
197	1189	10221
198	1196	10225
199	1202	10222
200	1209	10222
201	1216	10226
202	1223	10229
203	1230	10230
204	1237	10232
205	1244	10232
206	1250	10225
207	1256	10221
208	1262	10216
209	1268	10209
210	1274	10205
211	1281	10202
212	1287	10194
213	1293	10190
214	1299	10185
215	1305	10179
216	1311	10174
217	1317	10167
218	1324	10163
219	1330	10157
220	1336	10151
221	1342	10147
222	1348	10141
223	1355	10138
224	1361	10132
225	1367	10128
226	1373	10123
227	1379	10118
228	1386	10117
229	1392	10111
230	1398	10103
231	1404	10097
232	1410	10090
233	1416	10085
234	1422	10080
235	1429	10079
